problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ4,9,5,100,"[2.22044605e-16 2.22044605e-16 3.70877246e-01 2.22044605e-16
 2.22044605e-16 3.70877246e-01 3.70877246e-01 3.70877246e-01
 3.70877246e-01]",0.4921710906458054,0.401027653231019,,,173,166,122616,149400
DTLZ4,9,6,100,"[2.22044605e-16 2.22044605e-16 3.96797284e-01 2.22044605e-16
 2.22044605e-16 3.96797284e-01 3.96797284e-01 3.96797284e-01
 3.96797284e-01]",0.48960529019114657,0.4586496922048454,,,173,165,156600,149400
DTLZ4,9,7,100,"[2.22044605e-16 2.22044605e-16 3.96335744e-01 2.22044605e-16
 2.22044605e-16 3.96335744e-01 3.96335744e-01 3.96335744e-01
 3.96335744e-01]",0.40622382358831116,0.4043438685929788,,,173,165,156600,149400
DTLZ1,3,1,100,[0.         2.50225375 1.66816916],0.7384629631304512,0.7335108666992571,8.781943128761522,8.853396537991857,0,105,23922,31800
DTLZ1,3,2,100,[0.         0.         1.10032826],0.5518715118415555,0.5520194465875387,8.079902288634877,8.048669749565862,0,105,10512,31800
DTLZ1,3,3,100,[0.        0.5508886 0.       ],0.9524484684628396,0.5518944174464805,5.043032469774068,8.060099572289214,0,105,2526,31800
DTLZ1,3,4,100,[0.49046122 0.         0.        ],0.5518392780097102,1.8216678920238885,8.079066116909368,1.5343167176981478,0,106,8358,31800
DTLZ1,3,5,100,[2.22044605e-16 3.68046972e-01 2.22044605e-16],0.5529503071968354,0.5531325520103073,8.024200933502705,8.025439844546895,0,106,16152,31800
DTLZ1,3,6,100,[2.22044605e-16 3.66125495e-01 2.22044605e-16],0.553013466813229,0.5530848934437635,8.023712280392886,8.031269373485713,58,104,32400,31800
DTLZ1,3,7,100,[2.22044605e-16 3.65705320e-01 2.22044605e-16],0.5530581534155602,0.5530072045430977,8.024100101671424,8.031466804095626,102,103,32400,31800
DTLZ2,3,1,100,[5.91958071e-17 9.73843296e-01 2.43460824e-01],0.06576394910836073,0.06871954972569966,8.307933802552062,8.31280777248171,50,106,27420,31800
DTLZ2,3,2,100,[2.56888962e-19 1.00080038e+00 0.00000000e+00],0.008700801190855619,0.007067799492496265,8.080358332667194,8.06569538660423,42,106,29544,31800
DTLZ2,3,3,100,[0.98373589 0.24593397 0.        ],0.0656095946441619,0.0699540412718602,8.306921438746492,8.303658690611778,44,105,21870,31800
DTLZ2,3,4,100,[1.0004202 0.        0.       ],0.008854146397649719,0.007111007581423263,8.079463350497269,8.061201398380351,48,105,29250,31800
DTLZ2,3,5,100,[2.22044605e-16 9.69925394e-01 2.42236130e-01],0.06554394318617704,0.06979842000251807,8.218316918308268,8.232660272942475,30,103,7122,31800
DTLZ2,3,6,100,[2.22044605e-16 9.69839559e-01 2.42193771e-01],0.0653662477826355,0.06902901490625937,8.215885610660095,8.227648899325118,74,98,32400,31800
DTLZ2,3,7,100,[2.22044605e-16 9.69833447e-01 2.42190611e-01],0.06505060530578773,0.06861298965307755,8.213604339034436,8.232769059072801,68,98,32400,31800
DTLZ3,3,1,100,[2.51033863 0.         0.62758466],0.03787047795470602,0.025362945034867895,8.747798416467008,8.528720100292205,0,32,19758,31800
DTLZ3,3,2,100,[8.54500784e-33 1.02098195e+00 2.55245488e-01],0.06262652056015452,0.06807511428782842,8.356620041424218,8.312620322608241,0,104,12888,31800
DTLZ3,3,3,100,[8.54500784e-33 1.01346478e+00 0.00000000e+00],0.009933725618744811,0.005806926062104485,8.074756864538553,8.059105151770225,0,106,28884,31800
DTLZ3,3,4,100,[1.00766355 0.         0.        ],0.00885376686170294,0.006838295634828283,8.078082543522614,8.059235125658912,0,106,26640,31800
DTLZ3,3,5,100,[2.22044605e-16 9.73667846e-01 2.42156788e-01],0.06492815190500804,0.06888622594478354,8.21283468916438,8.226612080331842,3,106,17016,31800
DTLZ3,3,6,100,[2.22044605e-16 9.65071763e-01 2.35835574e-01],0.059433557132452026,0.064200437354292,8.21918121308225,8.234743126078293,15,104,32400,31800
DTLZ3,3,7,100,[2.22044605e-16 9.68919549e-01 2.39690433e-01],0.061697520377974505,0.06686077251507314,8.218165707914995,8.234179393620504,28,106,32400,31800
DTLZ4,3,1,100,[5.53057911e-17 1.00513527e+00 0.00000000e+00],0.023129050544264982,0.006785520238051527,7.945850186086385,8.059496282865258,20,106,26730,31800
DTLZ4,3,2,100,[0.55480579 0.83220868 0.        ],0.005967200291605509,0.009859587100916622,8.779738930640459,8.788289979361405,37,105,25242,31800
DTLZ4,3,3,100,[1.00008023 0.         0.        ],0.023214408672317628,0.007145585202402905,7.9465520058172965,8.061973644296407,34,105,29016,31800
DTLZ4,3,4,100,[3.00524287e-18 0.00000000e+00 1.00004805e+00],0.008860296002135948,0.007164247480899913,8.08006458466067,8.059535323068747,29,105,29004,31800
DTLZ4,3,5,100,[5.50218959e-01 8.27589436e-01 2.22044605e-16],0.006136083915527267,0.011118727226152817,8.638552526061694,8.61600328291015,50,103,26136,31800
DTLZ4,3,6,100,[5.50192799e-01 8.27550586e-01 2.22044605e-16],0.006146189671749605,0.010669774583839052,8.622593779700138,8.614992865340547,74,96,32400,31800
DTLZ4,3,7,100,[5.50192799e-01 8.27550586e-01 2.22044605e-16],0.006133420096852754,0.01089429188545432,8.62293154249418,8.635692489255177,70,96,32400,31800
DTLZ1,4,1,100,[ 0.          0.          0.         10.37253379],0.5588593796246186,0.5587153827348614,,,5,120,12496,48000
DTLZ1,4,2,100,[0.         0.         2.79727901 0.        ],0.5588677154200237,0.5586830585071103,,,46,120,26608,48000
DTLZ1,4,3,100,[0.         0.         0.         1.03148307],0.5588140854824167,0.5586578123969955,,,103,119,36512,48000
DTLZ1,4,4,100,[0.         0.         0.52649708 0.        ],0.5588883575877013,0.5587374237662754,,,89,120,16184,48000
DTLZ1,4,5,100,[2.22044605e-16 2.22044605e-16 2.22044605e-16 3.64955674e-01],0.559998720313831,0.5595175902686305,,,117,121,33872,48000
DTLZ1,4,6,100,[2.22044605e-16 2.22044605e-16 2.22044605e-16 3.44016751e-01],0.5600327236605902,0.5594960305619836,,,116,119,49600,48000
DTLZ1,4,7,100,[2.22044605e-16 2.22044605e-16 2.22044605e-16 3.39838314e-01],0.5600466573661576,0.5595208797850967,,,114,118,49600,48000
DTLZ2,4,1,100,[5.65035089e-17 0.00000000e+00 1.01002043e+00 0.00000000e+00],0.008100261529250238,0.0027435738520244493,,,61,119,37816,48000
DTLZ2,4,2,100,[3.75155071e-33 0.00000000e+00 0.00000000e+00 1.00063764e+00],0.009166175107175144,0.003747329632586952,,,66,119,33552,48000
DTLZ2,4,3,100,[0.66782865 0.66782865 0.         0.33391433],0.6863038077231229,0.03599364050060454,,,2,120,2080,48000
DTLZ2,4,4,100,[0.91156803 0.30385601 0.         0.30385601],0.06512817017380053,0.050454382509252195,,,104,119,26640,48000
DTLZ2,4,5,100,[6.27441850e-01 2.93705965e-01 2.22044605e-16 6.27441850e-01],0.02874597332708352,0.024648912812184436,,,119,117,39752,48000
